time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	7	Fiddle intro	Notes
10		Vocals enter for Atomic Power	Notes
10	27	Chorus 	Notes
27	45	Verse 	Notes
46	61	Chorus 	Notes
61	78	Instrumentation 	Notes
79	95	Verse, You remember two great cities	Notes
96	113	Chrous	Notes
114	131	Verse, Hiroshima, Nagasaki	Notes
132	149	Chorus 	Notes
150		Outro 	Notes
