time in hr:min:sec (displays in total sec)	time in hr:min:sec (displays in total sec)	annotation	layer
0	7	Fiddle intro	Instruments
10		Vocals enter for Atomic Power	
10	27	Chorus 	
27	45	Verse 	
46	61	Chorus 	
61	78	Instrumentation 	
79	95	Verse, You remember two great cities	
96	113	Chrous	
114	131	Verse, Hiroshima, Nagasaki	
132	149	Chorus 	
150		Outro 	
